type,post_count,text_len_chars,text_len_words,n_urls,n_q,n_excl,n_nonascii_chars,frac_ascii_chars
INFJ,50,4652,556,18,18,3,0,1.0
ENTP,50,7053,1170,8,5,0,0,1.0
INTP,50,5265,836,5,12,4,1,0.9998100664767331
INTJ,50,6271,1064,2,11,3,0,1.0
ENTJ,50,6111,967,5,10,1,0,1.0
INTJ,50,8589,1491,1,10,0,0,1.0
INFJ,50,7916,1329,2,13,3,1,0.9998736735725113
INTJ,50,6900,1223,1,35,0,0,1.0
INFJ,50,5325,738,18,22,1,0,1.0
INTP,50,7573,1233,7,13,3,0,1.0
INFJ,50,8381,1454,1,23,10,0,1.0
ENFJ,43,4724,797,3,7,28,1,0.9997883149872989
INFJ,50,7007,1250,0,14,8,0,1.0
INTJ,50,9035,1595,0,9,6,0,1.0
INTP,50,5291,884,3,2,2,0,1.0
INTP,50,7244,1212,1,11,4,0,1.0
INFJ,49,8253,1376,3,10,20,0,1.0
INFP,50,9489,1637,0,3,10,0,1.0
INFJ,50,8850,1530,0,6,6,0,1.0
INFP,50,7060,1139,0,10,5,0,1.0
INTP,50,6768,1085,1,8,2,0,1.0
INFJ,50,7205,1101,12,20,1,3,0.9995836224843858
ENTJ,50,7304,1192,5,13,20,0,1.0
INFP,28,3769,652,0,9,4,0,1.0
ENTJ,50,6428,1086,5,12,5,0,1.0
INFP,50,6451,1097,3,11,11,0,1.0
ENFP,50,9546,1758,0,1,12,0,1.0
ISFP,50,5067,905,1,8,12,0,1.0
INFP,48,8107,1454,0,10,6,0,1.0
INFJ,50,8921,1570,3,6,7,0,1.0
INFP,50,8948,1606,0,6,7,0,1.0
INFJ,50,5397,984,0,25,24,0,1.0
INTP,50,6955,1158,0,14,4,0,1.0
INFJ,50,7698,1366,1,10,3,2,0.9997401922577293
ENFJ,50,5995,1027,3,11,12,0,1.0
INFJ,50,3543,357,22,26,3,0,1.0
INTJ,50,8652,1465,4,8,9,0,1.0
INFP,50,8125,1488,4,5,0,0,1.0
ENFP,50,8413,1394,3,22,0,2,0.9997622726732438
ENTJ,50,9286,1656,0,6,26,0,1.0
ISTP,50,8682,1567,4,5,2,0,1.0
INFJ,50,8181,1413,4,7,8,0,1.0
INTP,50,6084,1035,0,1,4,1,0.9998356344510191
INFP,50,8108,1386,2,10,7,0,1.0
INTJ,50,6315,963,9,12,1,1,0.9998416468725257
INTP,50,9092,1548,4,8,2,0,1.0
ENTJ,50,9231,1535,1,6,9,0,1.0
INFP,50,8404,1492,0,3,24,0,1.0
ISFJ,50,9032,1635,0,1,2,0,1.0
INTJ,50,6431,1098,7,12,0,0,1.0
INTP,50,8377,1482,0,10,1,0,1.0
INFP,50,8154,1396,6,12,4,0,1.0
ISFJ,50,8090,1361,3,16,47,3,0.9996291718170581
INTP,50,7988,1462,1,13,7,0,1.0
INFP,42,7031,1271,0,5,7,0,1.0
INFP,58,5814,960,3,2,5,0,1.0
INFP,50,7467,1329,1,1,20,0,1.0
ENFJ,50,7319,1279,3,11,8,0,1.0
INTP,50,7964,1310,7,6,7,0,1.0
INTJ,50,7167,1196,0,8,3,0,1.0
INFJ,50,6786,1076,10,12,23,0,1.0
INTP,50,8484,1470,4,16,3,0,1.0
INFP,30,5626,1045,0,2,7,0,1.0
INFP,50,8953,1593,0,3,7,0,1.0
ENTP,32,2592,431,0,0,0,0,1.0
INTP,50,9150,1641,0,8,2,0,1.0
ISFP,50,7683,1231,3,19,20,3,0.9996095275283092
ENFJ,50,9535,1723,0,16,26,0,1.0
INFJ,50,8385,1358,3,18,7,0,1.0
ENFJ,49,6984,1206,2,13,8,0,1.0
INFJ,50,9223,1707,0,6,2,0,1.0
INFP,50,6175,971,9,6,0,0,1.0
ENFP,50,7580,1286,5,3,0,2,0.9997361477572559
ISTP,50,6005,1027,2,3,1,3,0.9995004163197335
INFJ,50,7806,1385,1,7,11,0,1.0
INTP,50,6246,1066,0,6,5,0,1.0
INTJ,50,9123,1568,0,7,2,0,1.0
INTJ,50,6994,1113,1,6,3,0,1.0
INTJ,50,9900,1627,2,9,3,0,1.0
INFP,50,9398,1673,0,16,13,0,1.0
INFP,50,5366,922,0,6,1,0,1.0
INFJ,50,7395,1355,2,18,15,0,1.0
ENTP,50,9259,1572,1,9,0,0,1.0
ENTJ,50,7333,1224,8,23,2,8,0.99890904132006
INFP,47,5280,909,1,17,2,0,1.0
INTP,35,4792,781,2,8,2,0,1.0
INFP,50,7588,1306,2,9,2,0,1.0
ISFJ,29,4713,789,2,6,6,0,1.0
ISTJ,50,6635,840,26,11,6,4,0.99939713639789
INTP,50,8762,1451,1,7,17,3,0.9996576124172564
ENTP,50,8263,1355,3,6,2,0,1.0
INTP,50,8721,1499,0,17,7,0,1.0
ISFP,34,5792,1013,0,15,13,0,1.0
ENFJ,38,2979,471,1,2,25,0,1.0
INFJ,50,4946,879,0,11,12,0,1.0
INFP,50,8668,1460,1,16,5,0,1.0
INFJ,50,7903,1411,4,4,5,0,1.0
INTJ,50,7641,1143,12,34,0,3,0.9996073812328229
INFJ,50,7449,1201,8,17,14,0,1.0
ENFP,50,7373,1183,4,5,30,0,1.0
INFP,50,7560,1255,11,13,12,0,1.0
INFP,50,6805,1124,8,15,2,3,0.9995591476855253
ENFP,50,6399,1002,6,15,8,0,1.0
INFJ,50,5478,782,11,6,6,0,1.0
ISTP,50,5553,1009,0,7,4,0,1.0
INFJ,50,8184,1488,2,9,22,0,1.0
ISTJ,50,7004,1186,1,12,14,0,1.0
ENFJ,50,8938,1477,2,14,5,0,1.0
INTP,50,4951,745,11,12,0,0,1.0
INTJ,50,6742,1162,0,19,2,1,0.9998516760605162
ENTP,47,8657,1595,0,17,2,0,1.0
INFP,50,8934,1554,0,18,31,0,1.0
INFP,50,8335,1494,2,15,2,0,1.0
ESTP,50,4883,686,8,20,39,0,1.0
ISTP,50,7730,1326,0,5,0,0,1.0
ENFP,50,7393,1306,7,20,1,0,1.0
ENTP,50,7285,1277,0,33,0,0,1.0
INTP,50,9085,1594,1,11,0,0,1.0
INFJ,50,6493,1104,2,14,8,0,1.0
ENFP,50,6608,1048,7,11,24,0,1.0
ENTP,50,9366,1591,1,6,17,0,1.0
INTP,18,2692,465,1,4,0,0,1.0
INFJ,50,7364,1263,1,6,3,0,1.0
ISTP,50,6372,1065,7,9,1,0,1.0
INTP,50,8069,909,9,15,2,7,0.9991324823398191
INTJ,50,8147,1217,11,11,5,0,1.0
ENTP,50,5484,899,2,14,0,0,1.0
INFJ,50,9332,1510,5,12,0,3,0.9996785255036433
INFJ,50,6568,1077,3,16,5,0,1.0
INFJ,50,8037,1291,9,13,5,0,1.0
ENTJ,42,5966,1013,0,10,15,0,1.0
ISFJ,50,9097,1672,0,13,16,0,1.0
INFP,50,9011,1488,2,15,6,0,1.0
INFJ,50,5707,960,4,20,0,0,1.0
INTP,50,8780,1601,0,8,0,0,1.0
INFJ,50,7118,1100,0,8,13,0,1.0
INFP,50,8194,1347,7,19,6,0,1.0
INTP,50,7903,1359,3,10,5,0,1.0
INFP,50,6739,1181,0,8,7,1,0.9998516100311619
ISFP,50,7487,1319,0,12,6,0,1.0
INTP,50,6927,1198,2,6,0,0,1.0
INFP,50,5364,873,6,15,6,0,1.0
ENFP,50,4834,856,1,8,8,0,1.0
ENFP,50,7619,1309,8,8,6,0,1.0
ENTP,50,8256,1429,1,8,9,1,0.9998788759689923
INFJ,50,7069,1276,0,55,17,0,1.0
INFJ,45,6451,1070,2,10,6,3,0.999534955820803
ENTP,27,3857,681,1,10,4,0,1.0
INFP,50,8475,1442,5,6,14,0,1.0
INFP,50,3949,605,5,12,5,3,0.9992403140035452
INTP,50,8638,1371,3,5,0,0,1.0
INFJ,50,9449,1633,5,15,0,16,0.9983066991216002
ENFP,50,7601,1306,4,8,10,0,1.0
ENFP,50,7168,1198,4,8,16,0,1.0
INTP,50,6341,965,2,10,6,13,0.9979498501813594
ENTP,12,2139,377,0,5,0,0,1.0
INTJ,50,8230,1407,0,11,1,0,1.0
INTP,23,3959,691,0,7,0,0,1.0
ENTP,50,5798,708,19,12,4,0,1.0
ENFP,50,5084,692,12,25,2,0,1.0
ESTP,50,7358,1411,0,20,0,0,1.0
INTJ,50,7192,1142,7,8,2,5,0.9993047830923248
INTP,50,5977,962,1,11,0,0,1.0
ENTP,50,7559,1278,6,18,8,0,1.0
INFP,50,8267,1394,10,18,15,1,0.9998790371355993
INFJ,50,7164,1172,8,28,17,0,1.0
INFJ,50,8760,1452,7,14,4,0,1.0
INTJ,59,6022,993,5,15,6,16,0.9973430753902358
ENFP,50,7236,1223,0,8,12,0,1.0
INTJ,50,8607,1535,1,12,2,0,1.0
INTJ,50,3008,425,3,8,4,76,0.9747340425531915
INTP,50,6087,1075,1,8,4,0,1.0
ISFJ,45,3634,530,5,10,3,0,1.0
INTP,50,8461,1384,2,20,25,0,1.0
ISTP,50,7065,1192,3,11,12,0,1.0
INTP,50,5212,808,6,16,1,2,0.9996162701458173
INTP,43,6654,1165,1,5,2,0,1.0
INTP,50,7186,1182,8,25,2,0,1.0
INTP,50,6991,1118,2,11,3,1,0.9998569589472178
INFP,50,7195,1235,6,10,6,0,1.0
ENTP,50,8405,1410,3,9,15,0,1.0
INFP,50,5920,895,8,4,9,0,1.0
INTP,50,9666,1631,6,11,7,1,0.999896544589282
INTJ,50,6034,1101,0,19,3,0,1.0
ENTP,50,8788,1494,2,20,6,7,0.9992034592626309
INFJ,50,8617,1408,6,8,9,1,0.9998839503307415
INTJ,34,2245,358,0,0,4,0,1.0
INTP,47,6860,1237,0,4,0,0,1.0
ISTP,50,7305,1221,4,11,1,0,1.0
ISTJ,50,8273,1423,0,16,7,1,0.9998791248640154
INFP,50,7463,1273,5,7,2,1,0.9998660056277636
INTJ,50,6928,1219,0,6,6,0,1.0
ENFP,50,5822,993,2,7,0,0,1.0
INFP,50,5214,793,15,4,1,0,1.0
INTP,50,9032,1512,0,12,3,0,1.0
INTJ,50,7175,1157,6,6,9,0,1.0
INTJ,50,4556,731,2,18,3,0,1.0
INFP,50,7578,1299,1,10,10,0,1.0
INTP,50,9599,1545,2,18,14,0,1.0
INTP,50,7316,1224,3,8,0,0,1.0
ESFP,53,5934,844,10,13,5,0,1.0
INTJ,50,5932,862,13,11,1,2,0.9996628455832771
ISFP,50,7729,1324,1,9,10,0,1.0
INFJ,50,6011,983,3,20,17,0,1.0
INTJ,50,4559,461,17,13,0,0,1.0
INTJ,50,6254,1017,6,15,14,0,1.0
INTP,50,8544,1444,0,15,1,0,1.0
INTP,56,6739,973,8,12,2,2,0.9997032200623238
INFP,50,6367,1071,0,10,1,0,1.0
ENFP,50,5333,883,1,18,15,0,1.0
INFP,50,7783,1366,1,8,5,0,1.0
INFP,50,5996,1082,0,11,4,0,1.0
INFP,50,7460,1236,3,12,1,4,0.9994638069705094
INFP,50,3300,513,0,6,1,0,1.0
